a0000032	a0000032202009281539	c	1	D	{48,50,51,52,53,54,55,56,57,58,59,60,61,62,63}	BonnPI	2020-09-28	0.786651	22.6683	168.5	0.261	16	64	64	1.661	0.113	-0.0846322	-0.0676247	33.0822	32.7326	91.951	
a0000043	a0000043202009281604	a	0	A	{}	BonnPI	2020-09-28	0.80201	13.0837	163.7	0.224	15	64	64	1.713	0.111	-0.0784521	-0.0597815	31.3846	30.483	109.386	
a0000043	a0000043202009281604	a	1	A	{}	BonnPI	2020-09-28	0.815043	5.01538	168	0.241	14	64	64	1.713	0.111	-0.0610804	-0.048185	31.0333	31.4726	96.7063	
a000005d	a000005d202009231411	a	0	A	{}	Mainz	2020-09-23	0.790551	14.9688	163.1	0.2	14	64	64	1.69	0.111	-0.0732095	-0.0538973	33.7472	32.9636	103.426	
a000005d	a000005d202009231411	a	1	A	{}	Mainz	2020-09-23	0.776638	18.2462	164.6	0.187	15	64	64	1.69	0.111	-0.0715748	-0.0552769	31.4136	31.8068	105.047	
a0000065	a0000065202009231537	c	0	D	{32,40,43,49,51,55,56,57,58,59,60,61,62,63}	Mainz	2020-09-23	0.820981	20.5538	162.6	1.839	15	64	64	1.822	0.113	-0.0548498	-0.065941	40.2883	36.0667	72.0095	
a0000065	a0000065202009231537	c	1	B	{25}	Mainz	2020-09-23	0.803765	8.82452	159.7	0.415	13	64	64	1.822	0.113	-0.0786873	-0.0585937	30.9146	30.9224	87.5913	
a000007d	a000007d202009281557	c	0	D	{4,5,16,22,24,26,29,31,32,34,35,36,37,38,41,42,43,44,45,46,47,48,49,50,51,52,53,55,56,57,58,59,60,61}	BonnPI	2020-09-28	0.807734	23.0428	168.2	0.249	16	64	64	1.612	0.111	-0.083921	-0.0949975	37.3119	37.6862	165.476	
a000007d	a000007d202009281557	c	1	A	{}	BonnPI	2020-09-28	0.824256	10.6687	168.5	0.148	13	64	64	1.612	0.111	-0.0731523	-0.0588079	29.6415	30.072	90.9385	
a0000093	a0000093202009281609	a	0	A	{}	BonnPI	2020-09-28	0.799778	15.3649	165.7	0.313	17	64	64	1.665	0.112	-0.0768655	-0.0622566	32.6737	31.7458	97.6171	
a0000093	a0000093202009281609	a	1	A	{}	BonnPI	2020-09-28	0.789279	12.0317	162	0.2	15	64	64	1.665	0.112	-0.0699686	-0.0531609	32.7546	32.8132	101.12	
a00000a6	a00000a6202009281620	a	0	A	{}	BonnPI	2020-09-28	0.77245	18.4038	163.6	0.167	14	64	64	1.663	0.11	-0.0701573	-0.0543927	31.1032	30.4689	90.3076	
a00000a6	a00000a6202009281620	a	1	A	{}	BonnPI	2020-09-28	0.793169	11.7115	166.9	0.187	14	64	64	1.663	0.11	-0.0741789	-0.058034	29.9171	30.2493	98.5195	
